"ID","liveness","loudness","danceability","song_duration_ms","time_signature","audio_valence","energy","tempo","acousticness","speechiness","key","instrumentalness","audio_mode","song_popularity"
1832,NA,-5.107,0.624,NA,4,0.172,NA,NA,NA,0.218,9,0,0,66
1833,NA,-6.443,0.595,194480,NA,0.217,0.542,NA,NA,0.0287,NA,0,1,68
1834,NA,-3.02,0.748,184732,NA,0.431,0.652,106.914,0.208,NA,NA,NA,1,55
1835,0.0856,-5.134,0.739,NA,NA,NA,0.809,89.734,NA,0.0416,NA,NA,0,57
1836,0.0661,NA,0.799,221266,4,NA,0.755,NA,0.108,NA,NA,0.169,1,40
1837,NA,-6.744,NA,173613,4,0.54,0.71,NA,NA,0.0324,8,0,1,70
1838,0.191,-6.854,0.652,196124,NA,NA,0.7,160.055,NA,0.103,NA,NA,1,59
1839,0.0828,NA,0.508,204750,NA,0.123,0.513,89.724,0.647,0.0265,1,0.000131,NA,57
1840,NA,NA,0.554,217633,NA,NA,0.667,100.017,NA,0.0439,7,NA,1,73
1841,0.074,-9.188,0.671,240680,4,0.186,0.672,117.96,0.103,NA,4,NA,NA,69
1842,0.085,-5.81,NA,195501,4,0.424,0.682,NA,0.219,0.112,NA,1.53e-06,NA,60
1843,0.129,NA,NA,137493,4,0.708,0.326,107.64,0.649,NA,11,NA,1,41
1844,NA,-7.876,NA,223146,4,0.371,0.542,89.991,0.0014,0.034,5,0,1,67
1845,NA,NA,0.776,162994,4,0.57,0.624,77.534,0.203,0.199,NA,0,NA,60
1846,0.118,-5.768,0.518,141691,4,0.505,NA,NA,NA,0.0471,NA,0,NA,60
1847,0.267,-3.1,0.485,224906,4,NA,0.987,123.576,2.08e-05,0.0738,4,0,1,66
1848,0.106,-8.619,0.598,251280,4,NA,NA,NA,0.172,0.0281,NA,0.00035,NA,12
1849,NA,-9.773,0.714,NA,NA,0.69,NA,121.312,NA,NA,NA,1.02e-05,NA,58
1850,0.0686,-9.343,NA,NA,NA,0.281,0.667,NA,0.0632,0.0439,NA,NA,1,73
1851,0.187,-5.351,NA,238680,4,0.811,0.757,NA,0.0151,0.165,2,5.26e-05,1,7
1852,0.379,NA,NA,237093,4,0.444,NA,95.018,NA,NA,7,NA,1,47
1853,0.107,-5.879,0.692,241133,4,0.45,0.709,105.004,0.504,NA,4,0.0355,1,45
1854,0.0433,-8.175,0.546,198666,4,0.444,NA,NA,NA,NA,9,0.00148,1,33
1855,0.176,-3.073,NA,NA,4,0.71,NA,93.974,0.4,0.0502,4,NA,0,79
1856,NA,NA,0.643,150466,4,NA,0.695,119.978,0.0328,NA,9,NA,1,0
1857,0.369,NA,0.662,224914,NA,0.347,0.677,99.017,0.23,NA,1,0,0,74
1858,0.0835,-13.419,0.739,NA,4,0.947,0.466,124.18,0.449,0.032,2,1.54e-05,1,22
1859,0.0444,-5.549,NA,209613,NA,0.781,0.723,116.023,NA,0.0408,NA,NA,1,55
1860,0.359,-4.266,NA,200560,NA,NA,0.747,NA,0.0257,0.162,10,NA,NA,66
1861,0.352,-4.718,0.571,190000,4,NA,NA,128.008,0.0231,0.0373,2,NA,0,69
1862,NA,NA,0.676,371705,NA,NA,NA,106.896,0.131,0.0251,5,NA,1,7
1863,0.0186,-3.252,0.478,226082,4,NA,0.977,130.028,0.000101,0.172,6,NA,NA,39
1864,NA,-9.353,NA,254500,4,0.15,NA,120.019,NA,0.0464,1,0.879,1,55
1865,0.228,-3.926,0.689,NA,NA,0.393,NA,119.993,0.00209,NA,NA,0,1,60
1866,0.0721,-12.22,0.823,230012,NA,NA,0.192,100.989,0.0798,0.356,NA,0.815,1,42
1867,0.0868,-4.817,0.471,NA,4,0.355,0.791,128.007,0.0836,0.0506,0,NA,1,69
1868,0.229,NA,0.736,224506,4,NA,0.482,140.064,0.327,NA,4,0,1,0
1869,0.853,-5.981,0.864,217093,4,NA,0.858,105.121,0.392,0.137,NA,1.92e-06,0,29
1870,0.115,-13.507,NA,336173,4,0.792,0.702,115.777,0.015,0.0898,1,0.555,1,38
1871,NA,-16.429,0.674,NA,4,0.941,0.371,93.834,0.643,0.0626,1,0,1,51
1872,0.0948,-6.642,0.796,388160,NA,0.901,0.65,NA,NA,0.0403,NA,NA,0,46
1873,0.184,-8.027,0.588,417188,NA,0.169,0.623,135.993,0.000288,NA,11,0.451,0,2
1874,0.132,-7.217,0.828,NA,4,NA,0.724,96.2,0.045,0.113,9,0.0618,NA,60
1875,NA,NA,0.73,350400,NA,0.923,0.868,148.217,0.0632,0.0288,NA,0.0661,NA,68
1876,NA,-6.403,0.827,204653,4,0.824,0.7,144.987,NA,0.0985,8,NA,1,64
1877,NA,-5.868,0.806,187814,4,0.943,NA,NA,0.564,0.158,4,0.000141,0,59
1878,0.133,NA,NA,194520,4,0.901,0.77,NA,0.0264,0.0531,NA,NA,0,54
1879,0.131,-10.971,0.674,161533,NA,NA,0.537,110.578,NA,NA,1,0,NA,76
1880,0.0968,-14.653,NA,NA,4,NA,0.237,78.282,0.716,NA,0,0.765,1,54
1881,0.106,-4.78,NA,191605,5,0.447,0.767,129.264,0.3,NA,9,NA,1,48
1882,0.344,-2.825,0.528,188919,4,0.421,0.942,110.058,NA,0.0512,3,0,NA,65
1883,0.063,-0.757,NA,261702,NA,0.432,0.968,173.986,NA,0.0476,5,NA,0,5
1884,0.459,-9.418,NA,NA,3,0.631,NA,106.63,0.429,NA,5,0.0128,1,24
1885,0.179,-6.507,0.586,207173,4,NA,0.569,132.712,0.0237,0.0649,1,0,NA,48
1886,0.102,-6.089,0.472,244940,4,0.311,NA,NA,0.0126,NA,NA,NA,0,60
1887,0.322,-8.282,0.759,211950,4,0.696,0.673,NA,0.00553,0.0686,0,0.0243,1,41
1888,NA,-5.031,NA,175800,4,NA,0.849,123.23,0.00917,0.0499,7,0,0,55
1889,NA,NA,0.524,NA,4,0.26,NA,NA,NA,0.137,NA,0.000238,NA,52
1890,0.107,-15.139,0.616,228855,4,0.486,0.193,135.746,0.883,0.0338,7,1.44e-06,1,70
1891,0.106,-7.099,0.736,231846,NA,0.712,NA,117.016,0.00632,0.047,11,0.00577,1,81
1892,0.11,NA,NA,179613,4,0.649,0.488,NA,0.256,NA,7,NA,NA,66
1893,0.392,NA,NA,270426,4,0.542,0.931,140.123,0.0296,0.0734,7,7.1e-05,1,69
1894,0.12,NA,0.694,NA,4,0.341,NA,90.045,0.0998,0.162,7,0.000635,0,41
1895,0.1,NA,0.28,238510,NA,NA,NA,165.454,0.98,0.0481,11,0.878,1,58
1896,0.104,-10.627,0.579,294000,4,0.0919,0.643,117.992,0.0339,NA,NA,0.862,0,54
1897,NA,-5.278,0.85,220346,4,0.964,NA,NA,NA,NA,1,0.000893,NA,33
1898,0.0929,-7.876,NA,197853,4,0.279,0.513,NA,0.388,0.0853,1,5.48e-06,0,22
1899,NA,-6.416,0.403,240933,NA,0.149,NA,76.329,0.0999,NA,NA,3.28e-06,1,66
1900,NA,-20.716,0.669,236400,NA,0.0446,0.0711,100,0.928,NA,7,0.938,0,41
1901,0.31,-4.12,0.558,195533,NA,0.704,0.851,NA,0.484,0.242,NA,NA,0,72
1902,0.157,NA,0.847,NA,4,0.405,NA,112.982,0.875,0.0728,11,NA,0,43
1903,0.106,NA,NA,NA,NA,0.34,0.443,92.006,0.208,0.298,8,0.000765,0,68
1904,NA,-12.346,0.506,NA,4,0.301,0.124,84.046,NA,0.0719,NA,0,1,31
1905,0.089,NA,0.683,NA,4,0.525,NA,110.022,0.304,0.0305,0,0.223,0,44
1906,0.116,-7.622,0.699,165000,NA,0.493,0.558,79.992,NA,0.0603,11,NA,1,91
1907,0.325,-5.991,NA,213309,4,0.486,NA,123.07,0.0119,0.0394,11,4.91e-06,1,98
1908,0.077,-10.08,NA,201706,NA,0.462,0.5,140.011,NA,NA,4,0,0,84
1909,0.145,-5.504,0.631,NA,NA,0.392,NA,179.925,0.0718,0.0597,NA,0,NA,66
1910,0.232,-4.883,0.749,183752,4,NA,0.752,180.049,0.31,0.345,6,0,1,91
1911,0.396,-6.607,0.402,190330,4,0.502,0.75,146.223,0.0125,0.0567,NA,NA,1,73
1912,NA,-6.553,0.789,NA,4,NA,NA,NA,0.307,NA,6,0.00593,0,28
1913,0.0787,-13.357,0.367,NA,4,0.262,0.441,88.491,0.42,NA,5,0.0158,NA,42
1914,NA,-9.401,0.786,226222,4,0.687,0.581,99.995,NA,0.0773,2,0.00144,1,65
1915,0.111,-17.098,0.759,NA,4,0.0399,0.125,120.052,0.963,0.0472,NA,NA,NA,66
1916,0.106,-7.111,0.569,273008,4,0.624,0.483,96.502,NA,0.0421,2,NA,1,61
1917,0.121,-6.56,0.751,227097,4,0.12,NA,NA,NA,0.0519,NA,0,1,63
1918,NA,NA,0.567,210925,NA,0.792,0.913,93.35,0.0934,0.0736,8,0.000124,NA,68
1919,NA,-8.675,0.816,160560,NA,0.403,0.511,145.061,NA,0.0676,1,NA,1,59
1920,0.114,-7.67,0.562,237428,4,NA,0.607,NA,0.119,0.0253,11,0,1,0
1921,0.0379,-10.96,NA,NA,4,NA,NA,113.046,NA,NA,5,NA,0,78
1922,0.0947,-22.013,0.445,215695,NA,0.296,0.00362,133.66,NA,0.0623,2,NA,1,56
1923,0.108,NA,0.494,152813,4,NA,0.241,NA,0.922,0.0938,4,0.0225,0,31
1924,0.158,-8.155,0.284,NA,4,0.387,0.88,115.299,0.148,0.0387,0,NA,1,23
1925,NA,-8.443,0.921,191251,4,NA,NA,135.995,0.0149,0.119,1,0.000238,1,82
1926,NA,NA,0.653,259853,NA,NA,NA,95.223,0.649,0.042,NA,0,NA,71
1927,0.249,NA,0.52,NA,5,0.704,0.717,135.55,0.116,NA,6,0,0,49
1928,0.358,-9.116,NA,248013,4,0.818,0.571,NA,0.378,0.0321,NA,5.13e-06,NA,59
1929,0.0874,-6.76,NA,NA,4,NA,0.93,NA,NA,0.0615,11,NA,1,68
1930,NA,NA,0.397,197893,NA,0.17,0.303,170.22,0.798,0.11,1,NA,NA,84
1931,0.194,-4.134,NA,279866,NA,0.702,NA,NA,0.313,0.334,NA,0,0,82
1932,0.0906,-5.719,NA,264407,NA,0.208,NA,111.982,0.459,0.0261,10,6.72e-06,1,25
1933,0.139,-4.087,0.581,204160,4,0.788,0.963,129.992,0.0295,0.0981,11,0,1,75
1934,0.064,NA,NA,NA,NA,0.166,0.48,NA,0.136,0.0331,7,0,1,26
1935,0.102,-2.704,NA,278706,NA,NA,NA,90.009,0.000319,0.056,10,1.19e-05,0,74
1936,0.11,-9.899,0.927,175934,NA,0.548,NA,NA,0.418,0.0671,2,0.235,NA,49
1937,NA,-11.167,0.794,344297,4,0.209,NA,118.014,0.000206,0.0602,5,0.948,1,56
1938,0.0928,-7.431,NA,193200,4,0.382,0.402,103.313,NA,0.0262,11,NA,1,58
1939,NA,-5.948,NA,307773,4,NA,0.719,93.281,0.03,0.248,1,0,1,78
1940,NA,-7.723,0.605,254560,4,0.919,0.61,NA,NA,NA,9,6.89e-06,1,25
1941,0.294,-4.05,0.237,NA,4,NA,NA,89.744,0.00561,0.093,NA,NA,0,56
1942,0.0829,-5.881,0.731,200373,4,NA,0.861,NA,0.0319,0.0323,11,0,1,83
1943,0.0467,-12.151,0.751,NA,4,0.902,0.501,167.058,NA,0.0552,NA,0.112,1,79
1944,0.111,-5.415,0.618,225512,NA,NA,NA,199.95,0.211,0.189,7,3.96e-05,1,69
1945,NA,NA,NA,247040,4,0.701,0.497,103.893,NA,NA,NA,NA,1,46
1946,0.175,-2.744,NA,225760,NA,NA,0.921,96.51,0.42,NA,4,NA,1,14
1947,0.0814,-4.487,0.76,182247,NA,0.429,NA,89.967,NA,NA,NA,0,0,42
1948,NA,-5.759,NA,206400,4,0.667,NA,100.029,0.0656,0.0921,1,NA,NA,51
1949,NA,NA,0.439,212893,NA,0.533,0.737,145.942,NA,NA,NA,0.28,1,67
1950,0.0812,-6.943,NA,151731,NA,0.96,0.711,98.263,0.477,0.035,1,0.000168,1,56
1951,NA,NA,NA,239988,4,0.306,0.634,128.124,0.0964,0.0307,1,NA,0,4
1952,0.132,-10.105,0.218,422060,4,0.223,NA,70.109,NA,0.0432,2,0.00188,1,8
1953,NA,NA,0.58,213229,NA,0.557,0.743,NA,0.205,0.431,10,0,0,36
1954,0.307,NA,0.653,NA,NA,NA,0.874,120.84,0.154,0.0341,6,1.36e-05,0,65
1955,NA,-5.053,NA,178346,4,NA,0.751,NA,NA,0.0342,6,NA,1,49
1956,0.202,NA,0.793,196160,NA,0.872,NA,107.661,0.236,0.0406,1,1.12e-05,NA,76
1957,0.0818,-36.281,0.0833,154840,4,0.0361,NA,70.329,0.935,0.0457,NA,NA,1,60
1958,0.14,NA,0.442,229412,NA,NA,0.585,97.565,0.0984,0.0964,0,NA,0,95
1959,0.0889,-15.099,NA,275280,4,0.348,NA,123.994,0.965,0.0534,7,0,1,79
1960,0.0951,NA,NA,183092,NA,0.656,0.702,201.988,0.448,NA,2,0.00752,NA,35
1961,NA,NA,NA,NA,NA,0.861,NA,127.984,NA,0.063,11,1e-05,1,53
1962,0.352,NA,NA,225318,4,NA,NA,105.019,0.00143,NA,2,1.16e-05,1,51
1963,NA,-6.521,0.64,202173,NA,0.362,0.583,91.968,0.326,NA,10,1.16e-05,1,60
1964,0.114,-5.314,NA,288413,4,NA,NA,NA,NA,0.107,11,0,0,53
1965,0.166,NA,NA,223573,4,0.414,0.669,90.995,0.000158,0.0395,NA,0.423,1,48
1966,NA,-8.018,0.633,210000,NA,NA,0.548,NA,0.219,0.0523,NA,3.88e-05,1,66
1967,NA,NA,0.665,293973,4,0.887,0.91,84.099,NA,NA,6,0,0,65
1968,0.109,-6.536,0.548,236040,NA,NA,NA,119.496,0.000154,NA,0,3.97e-05,NA,59
1969,0.111,-20.249,0.514,230000,4,0.244,0.0282,96.015,0.995,NA,11,NA,1,61
1970,NA,-7.62,0.745,NA,NA,0.303,0.466,NA,NA,0.0864,4,NA,0,81
1971,0.106,-5.271,0.657,212240,4,0.412,0.6,78.05,0.524,0.0306,5,0,1,51
1972,0.0421,-8.702,0.639,179303,4,0.591,0.582,195.951,0.0156,NA,NA,0,1,34
1973,0.0396,-4.754,0.779,NA,4,0.783,0.891,122.995,0.116,0.0903,NA,0.00541,1,58
1974,NA,-8.322,0.686,242186,4,0.718,0.457,150.953,0.595,0.0468,11,NA,NA,86
1975,0.0685,-14.894,0.716,123000,4,0.169,0.0271,82.007,0.946,NA,NA,0.936,1,61
1976,0.318,-4.782,0.631,202879,NA,0.704,0.847,NA,0.0834,0.16,3,NA,NA,50
1977,NA,NA,0.918,241666,4,0.943,0.61,130.203,0.227,0.0551,0,NA,0,2
1978,NA,-9.916,0.648,NA,4,0.353,NA,97.91,0.895,0.144,6,0.0446,0,55
1979,0.0675,-8.044,NA,134349,3,0.964,0.516,105.158,0.243,0.0388,NA,0.00013,1,59
1980,NA,-4.67,NA,219760,NA,0.398,0.959,84.979,0.00567,NA,NA,0.000279,NA,59
1981,NA,-9.529,NA,120000,4,NA,0.434,82.755,0.0184,0.4,NA,0.103,1,56
1982,0.0719,-4.921,0.643,270333,4,0.534,0.801,95.988,0.0298,0.0228,6,0,NA,75
1983,0.316,-5.438,0.705,216200,4,0.816,0.901,NA,0.0439,0.0645,2,0,NA,43
1984,0.105,NA,NA,232403,4,0.672,0.939,176.085,0.0222,0.0878,NA,NA,NA,59
1985,0.142,-6.442,NA,NA,4,NA,0.582,NA,NA,0.336,6,0,1,61
1986,0.0925,-5.125,0.821,213586,4,NA,0.629,162.973,NA,0.271,4,NA,0,49
1987,NA,-6.29,0.875,NA,4,NA,NA,87.999,0.0674,0.0571,NA,0.0374,0,71
1988,NA,-6.536,0.865,NA,4,0.62,0.722,124.022,0.531,0.124,1,0.00913,1,45
1989,0.214,NA,0.73,664573,4,NA,0.912,NA,NA,0.053,NA,NA,1,35
1990,NA,-6.913,0.694,NA,4,0.853,NA,96.039,0.128,0.0618,NA,0,1,37
1991,0.108,-9.474,NA,NA,4,0.753,0.511,NA,NA,0.0316,NA,NA,1,7
1992,0.0797,-6.933,0.715,NA,4,0.769,NA,NA,0.391,0.0265,9,0,NA,9
1993,NA,-16.514,0.329,252666,4,NA,0.227,73.807,NA,NA,9,2.65e-05,0,49
1994,0.315,-6.327,0.343,255880,4,0.541,0.827,89.397,0.000886,0.0377,NA,1.08e-06,1,8
1995,NA,NA,0.748,244960,4,0.661,0.524,NA,0.414,0.0338,NA,0,1,87
1996,0.108,-6.938,0.232,400280,3,NA,0.408,175.357,NA,0.0342,4,3.12e-05,0,24
1997,NA,-7.441,0.828,193575,4,0.549,NA,149.964,NA,0.26,7,0,NA,78
1998,NA,NA,0.669,NA,NA,0.273,0.574,120.013,NA,0.0286,4,0.00294,0,97
1999,0.0836,-10.311,0.6,110445,5,0.135,NA,130.556,0.389,0.0355,5,0.894,NA,55
2000,0.0972,-8.376,0.925,115617,4,0.52,0.453,137.022,0.306,0.168,9,6.99e-05,0,55
2001,0.0933,NA,0.877,127200,4,0.376,NA,99.977,NA,0.26,9,0,NA,82
2002,0.0908,-5.89,NA,190731,3,0.668,NA,93.955,0.257,0.241,8,0,1,70
2003,0.286,NA,0.361,217266,4,NA,0.901,144.97,0.00152,0.0443,NA,0.000263,0,4
2004,NA,NA,NA,240560,4,0.115,0.138,124.983,NA,0.0334,NA,0.0777,1,60
2005,0.0924,-4.259,0.584,217603,4,0.501,0.569,89.779,0.0508,0.166,NA,NA,1,74
2006,0.211,-7.786,0.619,211306,4,0.694,0.672,133.402,NA,NA,7,NA,1,65
2007,0.324,NA,0.722,NA,4,0.79,0.88,92.024,0.21,0.24,NA,0,NA,64
2008,NA,-4.44,NA,174774,NA,NA,0.596,NA,0.00418,0.193,NA,NA,1,67
2009,0.0557,-6.8,NA,NA,4,NA,0.784,108.005,0.153,NA,NA,NA,NA,2
2010,0.332,-4.166,0.804,219333,4,0.699,0.884,NA,NA,NA,NA,0,1,13
2011,0.063,-3.561,0.747,NA,4,0.791,0.867,124.013,0.00894,0.0392,NA,0.00267,NA,67
2012,0.295,-7.031,0.398,253342,NA,NA,0.316,118.582,NA,NA,NA,NA,NA,76
2013,NA,NA,0.795,206680,NA,0.533,0.982,NA,NA,0.191,6,0.00811,NA,58
2014,0.104,-9.653,0.446,NA,4,NA,NA,NA,NA,0.0494,2,NA,NA,42
2015,0.316,NA,0.557,201951,4,0.345,NA,NA,NA,NA,9,0,NA,8
2016,0.0769,NA,0.659,174800,4,0.71,NA,103.036,NA,0.0581,8,0,1,46
2017,0.123,-3.934,0.691,226963,4,NA,0.75,143.744,NA,0.347,10,NA,0,69
2018,NA,-9.21,0.758,198973,4,NA,NA,77.168,NA,0.11,7,8.29e-05,1,60
2019,0.0896,NA,NA,139318,3,0.147,NA,62.015,NA,0.0594,11,0.156,NA,65
2020,0.082,NA,0.372,159711,NA,NA,0.247,181.763,NA,NA,4,0.00162,1,2
2021,NA,-9.424,0.439,NA,4,0.789,0.795,84.846,0.00407,NA,2,NA,1,29
2022,NA,NA,NA,231160,4,NA,0.857,143.482,NA,0.0496,NA,0.0725,1,50
2023,0.142,-6.525,0.808,94932,4,0.811,0.541,92.132,0.855,NA,3,0.000977,1,66
2024,0.0906,-5.311,0.956,429533,4,0.841,0.795,121.294,NA,0.15,NA,NA,1,71
2025,0.103,NA,0.801,473550,NA,0.467,0.472,120.005,0.128,0.077,4,0.381,1,17
2026,0.215,NA,0.636,209026,NA,0.595,NA,124.005,NA,NA,NA,0.0337,1,63
2027,NA,NA,0.671,210197,4,0.561,0.565,NA,0.274,NA,11,NA,0,63
2028,0.102,NA,NA,249800,4,0.875,0.691,95.019,NA,0.192,NA,NA,NA,64
2029,0.298,-10.025,0.707,207666,4,NA,0.474,NA,0.202,0.0379,9,NA,1,48
2030,0.121,NA,0.38,254426,4,NA,NA,171.629,0.0199,0.0663,11,3.95e-05,1,55
2031,0.339,-3.073,0.64,298853,4,0.436,NA,99.931,NA,NA,2,0,1,72
2032,0.158,NA,0.621,114606,4,0.803,0.435,NA,0.902,0.521,NA,0.000843,NA,30
2033,0.129,-14.115,0.857,193786,4,0.583,0.22,100.976,0.789,0.23,2,0,NA,68
2034,0.146,NA,NA,148600,NA,NA,NA,114.055,0.811,0.0308,1,0.000212,1,33
2035,NA,NA,0.659,183750,4,0.481,NA,NA,NA,NA,4,0,0,89
2036,0.0736,NA,NA,NA,4,0.842,0.563,103.312,NA,0.175,NA,0,1,68
2037,0.091,-9.506,0.635,187402,4,0.0563,0.435,77.048,NA,NA,8,NA,NA,52
2038,NA,-11.585,0.733,325466,NA,NA,NA,110.002,0.322,0.0298,NA,8.18e-06,1,55
2039,0.0681,-12.635,0.474,270130,4,0.0399,0.461,119.68,0.951,0.0328,NA,0.756,1,42
2040,NA,NA,0.642,192317,4,0.645,0.95,NA,0.000596,0.0698,NA,0.000518,1,1
2041,0.141,-4.087,0.762,197733,NA,NA,0.821,121.98,0.0605,NA,0,NA,NA,67
2042,NA,-7.475,0.662,254400,NA,NA,0.763,126.333,NA,0.0397,0,0.0013,1,55
2043,0.201,-6.59,0.485,222906,4,0.291,0.633,156.002,NA,0.0509,NA,NA,0,53
2044,NA,-4.012,0.535,NA,4,0.825,0.931,NA,0.00611,0.0451,8,7.26e-05,1,72
2045,NA,-3.989,NA,200170,NA,NA,0.88,92.024,0.21,0.24,4,0,0,76
2046,0.252,-6.061,NA,233946,4,0.773,0.881,122.977,NA,0.0405,5,0.0864,1,46
2047,0.0815,-7.366,0.774,NA,4,0.226,0.72,138.015,NA,NA,3,0.783,1,36
2048,0.161,NA,0.817,231586,4,NA,0.55,131.013,0.175,NA,5,0.00487,0,52
2049,0.19,-5.41,0.697,NA,NA,0.462,0.798,107.98,0.108,0.0438,11,0,0,38
2050,0.237,-5.934,NA,NA,4,NA,0.658,145.031,0.0233,0.0558,NA,6e-05,NA,93
2051,NA,-2.17,0.66,NA,NA,0.803,NA,118.011,0.0581,0.0489,7,NA,1,30
2052,NA,-5.826,0.419,232135,NA,0.173,0.541,147.416,0.0238,0.0388,NA,0,1,46
2053,0.097,-6.068,NA,163857,NA,0.575,NA,131.514,0.384,0.384,NA,NA,NA,52
2054,0.0473,-5.114,NA,228093,NA,0.507,0.77,NA,0.138,0.0298,8,0,1,75
2055,0.0947,NA,0.828,227106,4,NA,0.69,95.997,NA,0.0804,1,9.5e-06,1,66
2056,0.137,NA,0.827,NA,4,0.885,NA,NA,0.593,NA,NA,NA,1,47
2057,0.128,-8.919,NA,321453,4,0.252,0.535,NA,0.284,0.0284,NA,NA,1,50
2058,0.117,-11.523,0.295,NA,3,NA,0.37,NA,NA,NA,10,0.0164,0,20
2059,NA,-7.868,0.729,105494,4,0.328,0.448,91.021,0.202,0.0413,0,0.867,1,50
2060,0.882,-4.463,0.648,231688,4,NA,NA,94.084,0.00669,0.184,1,6.64e-05,NA,53
2061,0.192,NA,NA,NA,NA,0.42,0.551,118.552,0.0311,0.291,NA,0,1,91
2062,NA,-7.009,0.688,236960,4,0.759,NA,155.856,0.705,NA,2,0,NA,60
2063,0.203,-4.653,0.69,194407,4,NA,NA,106.066,0.323,NA,1,0,1,94
2064,NA,-4.062,NA,237018,4,0.514,NA,85.882,0.0893,0.463,7,0,1,70
2065,0.185,-6.6,NA,341000,4,0.0688,0.414,60.042,NA,0.0254,4,NA,NA,24
2066,0.0807,-10.246,NA,226213,4,0.187,0.521,147.755,0.0388,0.0583,3,NA,0,15
2067,NA,-5.024,0.742,NA,4,0.502,0.579,144.994,NA,0.202,NA,0,1,84
2068,0.105,-9.691,NA,NA,NA,0.353,NA,207.523,0.153,0.441,0,0,NA,49
2069,0.102,-4.919,NA,266280,3,NA,0.714,NA,NA,0.0316,2,0.000109,1,67
2070,0.249,-7.404,0.455,NA,4,NA,0.564,NA,0.775,NA,NA,NA,0,15
2071,NA,-10.722,NA,265466,4,NA,NA,124.458,NA,0.0431,7,0.0121,0,51
2072,0.161,NA,NA,190217,NA,0.321,0.762,NA,0.119,0.0435,NA,0,1,57
2073,0.349,NA,0.85,NA,4,0.839,0.818,105.266,0.124,0.0904,0,NA,1,51
2074,0.123,-3.934,0.691,226963,4,0.345,0.75,143.744,0.104,0.347,10,NA,0,69
2075,0.339,-13.486,0.621,341266,4,0.505,0.449,90.042,0.145,0.0519,5,0.072,NA,43
2076,0.123,-4.451,0.523,186400,4,0.501,NA,NA,0.000169,0.119,9,NA,1,52
2077,NA,-4.751,0.744,312640,4,NA,NA,147.046,0.715,0.0333,10,0.00741,NA,47
2078,NA,NA,0.889,NA,NA,0.304,0.393,128.065,0.331,NA,4,8.67e-06,0,77
2079,NA,-3.843,0.47,NA,NA,NA,NA,159.738,0.183,0.0521,NA,NA,0,59
2080,0.123,NA,NA,NA,NA,0.452,0.603,120.668,0.495,0.165,5,0.000135,NA,48
2081,0.297,-10.83,0.51,NA,4,0.905,0.696,176.567,0.0157,NA,4,0.000104,1,66
2082,NA,-4.581,0.626,NA,4,NA,0.877,125.18,0.117,NA,NA,NA,NA,35
2083,NA,NA,NA,170813,4,NA,NA,108.9,0.00876,0.0754,NA,0.578,1,71
2084,0.115,-8.078,NA,NA,4,0.839,0.672,104.017,0.162,NA,NA,3.55e-06,1,72
2085,NA,-9.261,0.369,NA,4,NA,0.46,78.118,NA,0.0344,7,NA,0,23
2086,NA,-8.993,0.66,190360,4,0.324,NA,NA,0.641,NA,NA,NA,NA,49
2087,0.0936,NA,0.535,139320,4,0.743,0.579,NA,0.172,0.0529,8,0,1,52
2088,NA,NA,0.636,NA,4,0.454,NA,104.845,0.0796,0.0346,NA,0,NA,71
2089,0.081,NA,0.735,128266,4,NA,NA,NA,NA,0.0344,NA,NA,1,54
2090,0.294,NA,0.549,279573,4,0.12,NA,123.961,NA,0.0689,2,0.00479,1,51
2091,0.0856,-5.737,0.722,NA,NA,0.915,0.667,NA,0.0306,0.406,8,6.02e-06,1,64
2092,0.0861,-10.134,0.823,245533,4,NA,0.563,NA,0.158,NA,0,0.00033,0,55
2093,0.103,NA,NA,NA,NA,NA,0.747,NA,0.0927,NA,10,0,1,19
2094,0.146,NA,NA,262466,NA,0.225,0.656,104.036,0.188,0.0357,5,0,NA,81
2095,0.111,-24.141,0.644,257092,4,0.116,0.038,100.014,0.788,0.0416,6,0.948,0,41
2096,0.0883,-7.778,NA,251466,4,NA,NA,103.193,0.178,NA,NA,0,0,15
2097,0.152,-6.558,0.749,113345,4,0.434,0.588,122.057,0.952,0.0762,0,NA,1,58
2098,NA,-3.773,0.623,NA,4,0.355,0.872,105.147,0.0097,0.147,11,NA,0,75
2099,0.282,-4.982,NA,246385,4,0.64,0.901,143.096,0.0371,0.0753,1,2.45e-05,1,27
2100,0.313,NA,0.352,NA,4,0.426,0.727,85.385,0.00579,0.0352,6,2.9e-06,NA,36
2101,NA,-6.409,0.516,NA,4,0.859,0.776,177.399,NA,0.0412,6,NA,NA,31
2102,0.0391,-10.839,NA,NA,4,NA,0.594,NA,NA,0.0913,2,0.000413,NA,49
2103,0.367,NA,0.462,221626,NA,0.65,0.944,NA,NA,NA,8,0.000149,1,60
2104,NA,-11.456,0.761,NA,4,NA,0.573,NA,NA,NA,NA,2.3e-05,NA,9
2105,0.348,-5.028,0.441,302786,NA,0.121,NA,96.01,NA,0.0347,6,1.69e-06,1,42
2106,NA,NA,0.596,134906,4,0.939,NA,NA,0.232,NA,NA,NA,1,49
2107,NA,-7.544,NA,NA,4,NA,0.706,141.021,0.0493,NA,7,0.0617,1,46
2108,0.11,-12.698,0.332,199466,NA,0.652,0.707,144.815,1.2e-05,NA,7,NA,1,43
2109,0.138,NA,0.753,231071,NA,0.241,0.485,NA,NA,NA,10,6.11e-06,0,70
